,cont_label,dct_label,prediction,text
3,0.4579439252336448,0,1,"In love? Yes I am. Thank you for asking. Well that was the 19 questions tag. I kind of want to make my own tag, because I feel like a lot of these questions are poop, in my opinion."
14,0.27102803738317754,0,1,"... country, with actually, with no connection to anyone else and just kind of do my own thing. That was a very cool experience and feeling, and I've never felt anything like that, just being so disconnected and in my own world."
15,0.32710280373831774,0,1,"I don't want to be attached to previous stories that I've done. I don't think I'm going to keep the name. It's going to be a different name, a different story with similar characters, tortoise and greyhoundwill definitely be there. No, not [inaudible 00:00:14] ..."
22,0.4953271028037382,0,1,"We help people. It's an intentional effort. Yes, our posts help people. Yes, our posts are motivating and inspiring to others. Absolutely. We make it a conscious effort to reach out and talk to people."
26,0.43925233644859807,0,1,"You got to figure out how to be entertaining for people on this side of the camera. You got to figure out lighting and equipment and all these things that you didn't even know existed, that you have to be an expert at to even be successful in this YouTube game. There's so much you got to balance and figure out. It's crazy."
29,0.47663551401869153,0,1,"You don't want to spend the time; I totally understand. You have other things to do. But if you are really wanting to be everywhere that you can't be to send yourself traffic, and to set yourself up with influence, I think you still have to do facebook."
37,0.4953271028037382,0,1,"I'm only going to run that for one more year, so I'm just finishing off this current year which is 2012 year. Then we're going to run it from mid 2012 to 2013, and that will be it. The reason we're running one more is I've still got some obligations for the prior year."
40,0.4299065420560747,0,1,"That's what it is now. You might not think that's not true because you had lots of finance available and all this sort of thing. That's true to a point but don't forget, if you were buying at that point, you start and get a base here. It then went out and it just fell again. You're not-"
79,0.4579439252336448,0,1,"I love your channel, what was your favorite thing about 2015?"
89,0.35514018691588783,0,1,"For questions. I hope you guys like this video. Remember to leave me some comments down in the comment bar. Let me know if you want to help me fight those horses. That'd be fun, right? As always, give it a huge thumbs up, hit the subscribe-"
94,0.46728971962616817,0,1,"...videos are hilarious. You know, she's super-sarcastic, and her nail art's great and she has a lot of really easy tips on how to do nail art. Nails with [Arian 00:00:08] says, ""Have you ever tried water marbling?"" I haven tried-"
99,0.2803738317757009,0,1,"Comment tags, and I will do more. Tell me guys, what you want from my beauty channel, because I really want this channel to be successful. I love making videos. I love you guys. Whoever is watching me, I love you so much. Give this video a bi thumbs up. Comment down below ideas, and I will see you guys-"
110,0.4953271028037382,0,1,"And also really practical. They are like the three things that I have always found really difficult. Now I could probably buy one for two pound, it gets dirty straight away and you think for two pound, I don't really care. I just wanted a much better quality bag that didn't have the unaffordable price range."
111,0.4205607476635514,0,1,"I think with every video, I just get more and more comfortable with talking to you. That would be my best suggestion. If you are hesitant, if you are afraid, do your first few videos without putting yourself on camera if you want to. If you want to show something, show a a DIY -"
168,0.4205607476635514,0,1,"My actual name is Gizelle. That is just something that I never really talk about, because everyone always calls me Gi-Gi, every single day of my life. I say, Yeah, that's my name. What are you doing for Christmas this year?"
173,0.2523364485981308,0,1,Will be open to Plexus. It's very common for people to say no multiple times before trying something new. I just wanted to encourage you with that.
176,0.4953271028037382,0,1,"You have Youtube ideas. You can ask me anything personal basically, except for like my number and my address, and I will respond. This is a shorter video guys, it's a short video just telling you guys, like a question and answer videos. If you like this video-"
199,0.32710280373831774,0,1,"What it's like working in Australia at Game Spot doing the gist. Yeah, I've been doing it for just over a hundred episodes now. Seems like pretty good timing. I have quit the call out."
212,0.4579439252336448,0,1,"Of course, I sometimes try to act more ... Some people that are smart enough to know who I really am will understand when it's funny, in a funny way or in a dou-"
236,0.4485981308411215,0,1,"About cutting and bulking and this sort of thing. It's a little bit more of a bodybuilding term, if you will, because they typically will cut into a contest. Then if they're in more of an off season, they would tend to-"
240,0.41121495327102797,0,1,"Updates will be about my books, like channel trailers, me reading it, and all the other promotional stuff that comes with being an author and having books. Reader questions will be about me answering questions readers have given me, and-"
246,0.41121495327102797,0,1,"You know. Feel free to ask me anything you like. I'm not going to tell you my social security number but outside of that and where I work, almost anything is fair game."
270,0.27102803738317754,0,1,"Not actually though, I'm lying. And then, I'll look at a message or a picture or something that, made me feel good or feel happy and feel confident. I'll remember that feeling ..."
303,0.4953271028037382,0,1,"... anyway, it's just a weird stretching experience. Don't take that out of context. It's really good. It's really, really good, kind of fun too."
308,0.4859813084112149,0,1,"Thank you guys for watching this video, I hope you guys enjoyed it. Please give it a thumbs up if you did. Comment down below any other questions you want me to do or any other dares you want me to do too. Thank you for watching my January Q&A--"
310,0.3925233644859813,0,1,"I get a lot and I think it's something that takes up a lot of time in people's thought process. Here's how it works: If you sample in through the AS10's inputs, that's where the magic happens. So-,"
318,0.4953271028037382,0,1,It throughout the video honestly. I do this ... I don't know ... To distract myself kind of. I always play with my hands too like that or I bite my lip.
332,0.37383177570093457,0,1,I love traveling. The best day would be traveling somewhere exotic because I like places I've never been and going to Fiji. [Howaboutthatplace? 00:00:12] Fiji. Fiji. The beach.
340,0.29906542056074764,0,1,"... That's a question for thought, so what makes me different from other top natural body builders? I would say that I don't necessarily look at myself as just a body builder, I-"
385,0.3925233644859813,0,1,"That I go with. So, let me know what you guys think in the comments about the quality that you're actually seeing right now. Now the next thing that I probably want to mention is that, you may see like five videos still with the old format."
389,0.32710280373831774,0,1,"I think I can go up. What's the funniest thing you've ever done, when you're bored? Make a Youtube video, basically. I literally got home."
397,0.4205607476635514,0,1,"It's the fourth birthday of our blog, and we're going to celebrate. What we thought we'd do by a little bit of change though is to invite you all to send in questions about the maniacs as the group or about the eight individual members and we promise to answer honestly."
401,0.4579439252336448,0,1,"Trees already coated in acorns, so we're all the same. We have to make space in our lives in order for that natural process to take place in our lives. For our unique destiny to wake up, right? So, this is my offering. I'm excited to do it in my life and I would just love to-"
403,0.1682242990654205,0,1,"It's not a judgement. It's just the truth. There is another way and it's absolutely available to all of us. That's the exciting part. In order to make space, there's one tool, one offering I can give you right here, right now."
411,0.47663551401869153,0,1,"The next question is from Anna, and she asks ""Do you have any plans for traveling this year?"" And I kind of do, but I kind of don't. I do have plans to go to Sydney with Zack again. We went last year for YouTube Fanfest and we had so much fun that we really just want to go back-"
424,0.4953271028037382,0,1,"Side of their network marketing company so they can stand out amongst all the rest of them and pretty much, those people who are a little bit more advanced, be able to be the only one in my directory. My work from home directory and just be the only one."
458,0.4859813084112149,0,1,They don't exist anywhere else in the world. You have to definitely be a certain personality type to live in New York and that means very little sleep and constantly being out and maximizing your time all the time. I've gotten-
459,0.40186915887850466,0,1,Want to put it in your memory or on a picture and you want to post and you want to share it and you want to yell it to the world that you are in love or that you just really like this person. I think that obviously that is a true sign
465,0.4299065420560747,0,1,"... More precious to me than my contacts are, I feel like, because I can wear my glasses everyday, day-to-day. My contacts, I might not be able to, so that's why I justify wearing my contacts in the pool-"
467,0.4953271028037382,0,1,"... precious to me that my contacts are, I feel like I've, because ... I can wear my glasses every day, day to day, my contacts, I might not be able to, so that's why I justify wearing my contacts in the pool."
474,0.41121495327102797,0,1,"If you just need to breath, what do you think of? Nature, the mountains, water. Especially the mountains. I really, really love the mountains and I feel like whenever I leave LA and whenever I leave the city and go to the mountains, I feel like this giant kind of weight has been taken off the world and I feel so much more ..."
479,0.4953271028037382,0,1,"... patent on file, and then you're continuing to work on you product and develop it. Well, guess what? Four months later you might find out that there's a better way to do it, and at that point you want to make sure that that better way to do it is also in the patent."
491,0.4953271028037382,0,1,"For as long as I can remember, even as a little girl, I would dream about going to New York and I used to want to move there, and you know, part of me still does want to move there but I just know that I would-"
501,0.4299065420560747,0,1,"Foreign students can go if they have any problems, or if they need to extend their visa, or anything. The people in this office usually talk English. At least, one person is very good at English."
518,0.4299065420560747,0,1,"Email list because an email list it's going to get sent to their email. When it's social media on Facebook, not everything gets seen like the Facebook pages. You pretty much have to pay to promote it if really want everything single person that's liked-"
524,0.47663551401869153,0,1,"We want it to be slightly too big so that when it's underneath the muscle it'll actually end up being closer to what you're comfortable with rather than what you're seeing in front of you. I thought that was great. I actually went in, after all my research, I actually went in there with quite-"
542,0.4485981308411215,0,1,"Business, you want to build a big team. You want to maybe create more money for yourself. Maybe lead a lot of people. Maybe you want to build an army of people all across the globe that are succeeding in their business and you want to be the leader."
576,0.4299065420560747,0,1,"That's like a babysitter when you're resuming work or grandma. No, grandma is going to take care, grandma does take care of her already. If I have to go somewhere, I just drop her off there. That is all the questions. You guys, thank you so very much, thank you so much for ..."
578,0.4579439252336448,0,1,"Looked at questions, the most up-voted questions, and take those. I'll also probably take some of the more interesting ones there too. They don't have to be PVP. I know that this video's going to [inaudible 00:00:21] PVP talk, but they can be PVE related, they can be World of War related, LOR related. Pretty much anyone relevant that I can get a chance to talk to, or any sort of information that I-"
607,0.4485981308411215,0,1,"Actually go, or when I get done with class, I can actually go home. I don't need to go to the library after two. So I'm just sitting in my car getting ready to go to class. I don't have a ton going on today, not a ton going on. I got a bathing-"
